index,x_m,y_m,z_m
0,50.50099999999978,50.49999999999977,50.02042999999999
1,51.30460721442864,51.303607214428645,50.022246152304604
2,52.108214428857515,52.10721442885752,50.024062304609224
3,52.91182164328638,52.91082164328638,50.02587845691383
4,53.71542885771525,53.714428857715255,50.027694609218436
5,54.51903607214412,54.51803607214413,50.02951076152305
6,55.32264328657298,55.321643286573,50.03132691382766
7,56.126250501001856,56.125250501001865,50.03314306613227
8,56.929857715430735,56.928857715430745,50.034959218436875
9,57.73346492985959,57.73246492985961,50.03677537074147
10,58.537072144288466,58.536072144288475,50.038591523046094
11,59.340679358717324,59.33967935871734,50.04040767535071
12,60.1442865731462,60.14328657314622,50.042223827655306
13,60.94789378757507,60.94689378757509,50.04403997995992
14,61.75150100200393,61.75050100200396,50.04585613226452
15,62.5551082164328,62.55410821643283,50.047672284569146
16,63.35871543086167,63.357715430861695,50.049488436873744
17,64.16232264529054,64.16132264529057,50.05130458917836
18,64.9659298597194,64.96492985971942,50.05312074148297
19,65.76953707414827,65.7685370741483,50.05493689378758
20,66.57314428857714,66.57214428857716,50.05675304609219
21,67.376751503006,67.37575150300604,50.058569198396796
22,68.18035871743487,68.17935871743492,50.0603853507014
23,68.98396593186374,68.98296593186379,50.062201503006015
24,69.78757314629262,69.78657314629264,50.064017655310636
25,70.5911803607215,70.59018036072155,50.065833807615235
26,71.39478757515033,71.39378757515037,50.06764995991985
27,72.19839478957923,72.19739478957926,50.069466112224454
28,73.0020020040081,73.00100200400816,50.07128226452906
29,73.80560921843697,73.80460921843701,50.07309841683367
30,74.60921643286584,74.60821643286587,50.0749532147662
31,75.4128236472947,75.41182364729475,50.07947441524331
32,76.21643086172357,76.2154308617236,50.08656871743487
33,77.02003807615243,77.0190380761525,50.09368867735471
34,77.8236452905813,77.82264529058135,50.100808637274554
35,78.62725250501018,78.62625250501023,50.107928597194395
36,79.43085971943904,79.4298597194391,50.115048557114235
37,80.23446693386788,80.23346693386794,50.122168517034076
38,81.03807414829677,81.03707414829684,50.12928847695392
39,81.84168136272562,81.84068136272569,50.13640843687375
40,82.6452885771545,82.64428857715455,50.143528396793585
41,83.44889579158335,83.44789579158342,50.15064835671343
42,84.25250300601222,84.25150300601229,50.157768316633266
43,85.0561102204411,85.05511022044116,50.164888276553114
44,85.85971743486995,85.85871743487003,50.17200823647295
45,86.66332464929884,86.66232464929891,50.17912819639279
46,87.46693186372771,87.46593186372777,50.18624815631263
47,88.27053907815656,88.26953907815663,50.19336811623248
48,89.07414629258543,89.0731462925855,50.20048807615231
49,89.87775350701428,89.87675350701436,50.207608036072145
50,90.68136072144314,90.68036072144322,50.214727995991986
51,91.484967935872,91.48396793587209,50.22184795591183
52,92.28857515030089,92.28757515030095,50.22896791583166
53,93.09218236472975,93.09118236472983,50.23608787575151
54,93.89578957915863,93.8947895791587,50.243207835671356
55,94.69939679358748,94.69839679358756,50.25032779559119
56,95.50300400801635,95.50200400801643,50.25744775551102
57,96.30661122244521,96.30561122244528,50.26456771543086
58,97.11021843687408,97.10921843687416,50.27168767535069
59,97.91382565130294,97.91282565130301,50.27880763527054
60,98.71743286573181,98.71643286573189,50.28592759519039
61,99.52104008016065,99.52004008016073,50.293011983445844
62,100.32464729458952,100.3236472945896,50.30355981287626
63,101.12825450901838,101.12725450901847,50.31948887775552
64,101.93186172344727,101.93086172344735,50.335307082164334
65,102.73546893787612,102.73446893787622,50.35112528657316
66,103.53907615230499,103.53807615230508,50.36694349098197
67,104.34268336673387,104.34168336673395,50.3827616953908
68,105.1462905811627,105.14529058116281,50.398579899799614
69,105.94989779559158,105.94889779559168,50.41439810420843
70,106.75350501002046,106.75250501002056,50.43021630861725
71,107.55711222444931,107.5561122244494,50.44603451302607
72,108.36071943887818,108.35971943887829,50.46185271743488
73,109.16432665330701,109.16332665330712,50.477670921843696
74,109.96793386773591,109.96693386773602,50.493489126252506
75,110.77154108216476,110.77054108216487,50.50930733066133
76,111.57514829659364,111.57414829659375,50.52512553507016
77,112.37875551102248,112.37775551102258,50.54094373947897
78,113.18236272545137,113.18136272545148,50.556761943887786
79,113.9859699398802,113.98496993988032,50.5725801482966
80,114.7895771543091,114.78857715430921,50.588398352705426
